Name;Einzugsgebiet;übergeordnetes Einzugsgebiet;east;north
Luetzel;Eder;Weser;442872;5646469
MadfeldKA;Alme;Lippe;481546;5698809
Marienfeld;Broel;Sieg;389953;5638177
MendenWWLendringsen;Hönne;Ruhr;418802;5695867
MettingenKA;Mettinger AA;Ems;417221;5799980
MettmannPaul;Düssel;Rhein;357062;5679589
MuelheimBhAB1N;Ruhr;Ruhr;352378;5699028
MuensterHKA;Münsterische AA;Ems;407392;5762726
NachrodtWiblingwerdeLohagen;Lenne;Ruhr;403217;5684585
Nassesand;Lippe;Lippe;490607;5744257
NeuenradeAffeln;Hönne;Ruhr;419975;5681111
Neunkirchen1;Sieg;Sieg;430218;5628091
NeunkirchenSeelscheid;Broel;Sieg;383809;5631754
NevigesL107;Hardenberger Bach;Rhein;369842;5685990
NiederdielfenKLG;Sieg;Sieg;435216;5634999
Niederkrüchten;Schwalm;Schwalm;306131;5675856
Niedermarsberg;Diemel;Weser;492542;5704039
NieheimKA;Emmer;Weser;506539;5741728
OchsenkopfDeponie;Ruhr;Ruhr;433112;5689974
Oestertalsperre;Lenne;Ruhr;415937;5668394
OstbevernKA;Bever-Ems;Ems;419785;5765370
Osterath;Rhein;Rhein;336169;5682075
PaderbornP4;Lippe;Lippe;484188;5729525
Pattern;Erft;Rhein;316779;5648566
Peckelsheim;Ugge;Weser;509589;5715679
PlettenbergRKB1N;Lenne;Ruhr;421049;5675711
PulheimGeyen;Rhein;Rhein;345069;5650509
RaesfeldKA;Issel;Ijssel;347798;5735507
Raffelsbrand;Inde;Rur;310427;5616849
RekenBhfRUEB;Lippe;Lippe;365971;5741134
RemscheidLennep;Lenneper Bach;Rhein;379980;5672055
RhedaN;Ems;Ems;452441;5745736
RhedeKA;Bocholter Aa;Ijssel;340542;5744383
RietbergKA;Ems;Ems;459178;5740362
Roenkhausen_N;Lenne;Ruhr;429734;5675280
Roetgen;Inde;Rur;301422;5614650
Rosbach;Sieg;Sieg;401536;5629670
RoteFurth;Agger;Sieg;382230;5659591
Rothenbach;Rur;Rur;298576;5669319
Ruenderoth;Agger;Sieg;390525;5649566
Ruhne;Ahse;Lippe;427453;5707515
Rurberg_N;Weidenbach;Rur;314354;5610210
Schapdetten;Stever;Lippe;391354;5754564
SchermbeckDaemmerwaldN;Issel;Ijssel;345817;5734297
Schlich;Rur;Rur;316194;5630758
Simmerath;Kall;Rur;308553;5611848
SolingenWald;Lochbach;Rhein;363900;5672061
SprockhoevelSchevenerStrasse;Ruhr;Ruhr;378911;5688192
StArnoldLys;Ems;Ems;390177;5786488
SteinheimKA;Emmer;Weser;506755;5747810
SueddinkerN;Ahse;Lippe;426088;5720584
Suedkirchen;Stever;Lippe;400007;5729788
Suelze;Agger;Sieg;379600;5653756
Uckendorf;Rhein;Rhein;364189;5632047
Versmold;Hessel;Ems;442351;5762584
Vormwald;Sieg;Sieg;438920;5649494
VredenKA;Berkel;Ijssel;347375;5769350
WarburgWelda;Diemel;Weser;508064;5700289
WarsteinSteinbruch;Moehne;Ruhr;454830;5698256
Wegberg;Schwalm;Schwalm;309426;5670198
Wehr_N;Maas;Rur;284257;5654100
WenholthausenN;Ruhr;Ruhr;441277;5681719
Werther;Aa;Weser;460963;5769790
Wetter_Hof_Sackern;Elbsche;Ruhr;383852;5692912
Willebadessen;Nethe;Weser;502396;5719671
WittenGedern1;Ruhr;Ruhr;385813;5696548
WittenSchnee;Ruhr;Ruhr;390242;5698975
Worm;Rur;Rur;294780;5640963
WuppertalNaechstebreck;Wupper;Rhein;377780;5685739
Zweifall;Inde;Rur;307271;5621261
